dishlist
dish
Kabuli Palaw
Tavë kosi
Couscous
Escudella
Muamba de galinha
Pepperpot
Asado
Khash
Keshi yena
Vegemite
Wiener Schnitzel
Dolma
Crack conch
Machboos
Rice
Cou-Cou
Draniki
Moules-frites
Boil up
Kuli Kuli
Bermuda fish chowder
Ema datshi
Salteñas
Bosnian pot
Seswaa
Feijoada
Ambuyat
Banitsa
Riz Gras
Boko-Boko
Amok trey
Ndolé
Poutine
Cachupa
Cassava
Empanada
Peking Duck
Crispy fried chicken
Minchee
Beef noodle soup
Sancocho
Poulet à la Moambé
Poulet Moambé
Gallo pinto
Zagorski Štrukli
Ropa vieja
Souvla
Vepřo knedlo zelo
Stegt Flæsk
Kiviak
Mountain chicken
Sancocho
Ikan Pepes
Encebollado
Ful medames
Pupusa
Succotash
Zigini
Verivorst
steak
Kitfo
Karjalanpaisti
Pot-au-feu
Poulet Nyembwe
Benachin
Khachapuri
Doener
Fufu
Profiteroles
Gyro
Oil Down
Fiambre
Poulet Yassa
Jollof rice
Pepperpot
Red beans and rice
Baleada
Goulash
Hákarl
Khichdi
Soto
Abgoosht
Masgouf
Irish stew
Meorav Yerushalmi
Pasta
Fufu
Ackee and Saltfish
Sushi
Mansaf
Beshbarmak
Ugali
Palusami
Kimchi
Kimchi
Machboos
Beshbarmak
Green papaya salad
Potato pancake
Kibbeh
Chakalaka
Dumboy
Bazeen
Käsknöpfle
Cepelinai
Judd mat Gaardebounen
Tavče Gravče
Romazava
Nshima
Nasi lemak
Nasi kandar
Asam pedas
Mi rebus
Tempoyak
Lekor
Budu (sauce)
Kolo mee
Garudhiya
Tiguadege Na
Pastizzi
pie
Thieboudienne
Curry
Taco
Bat soup
Mămăligă
Barbaguian
Buuz
Kačamak
Goat water
Couscous
piri piri
Mohinga
Braai
Coconut Crusted Fish
Dal bhat
Stamppot
Bacon and egg pie
Gallo pinto
Stew
Fufu
Fårikål
Shuwa
Seekh kebab
Bat soup
Arab salad
Sancocho de gallina
Mumu
Sopa paraguaya
Ceviche
Adobo
Bigos
Cozido à Portuguesa
Machboos
Mămăligă
Pelmeni
Öçpoçmaq
Tula pryanik
Buuz
Ugali
Saltfish
fig
breadfruit
Palusami
Torta Tre Monti
Kabsa
Thieboudienne
Ćevapčići
Tavë Prizreni
Fruit Bat Soup
Cassava
Chilli crab
Bryndzové halušky
Ajdovi žganci
Poi
Canjeero
Bobotie
Kisra
Tortilla española
Gazpacho
Fabada asturiana
Tombet
Marmitako
Sancocho
Cocido montañés
Pa amb tomaquet
Lechazo asado
Gachas
Migas
Empanada
Cocido madrileño
Zarangollo
Patatas a la riojana
Paella
Rice and curry
Ful medames
Pom
Köttbullar
Cervelat
Kibbeh
O'sh
Ugali
Pad thai
Ablo
Lu Pulu
Callaloo
Couscous
Döner
Palaw
Pulaka
Matoke
Borscht
Shawarma
Fish and chips
Beef
Cornish pasty
Ulster fry
Skeddan jiarg
Haggis
Cawl
hamburger.
Philly cheesesteak
hotdish
Fried Chicken
Gumbo
Tex-Mex
Chili
Rocky Mountain oysters
Cioppino
Poi
Arroz con gandules
cou-cou
Asado
O'sh
Lap lap
Fettuccine alla Papalina
Pabellón criollo
Phở
Kabsa
Nshima
Sadza
doi
ISBN
